country,year,population,life_expectancy_tidy,gni_per_capita_tidy
Liechtenstein,1800,5800,,
Sri Lanka,1800,1.75M,32.6,
Lesotho,1800,276k,32.8,
Lithuania,1800,779k,28.9,
Luxembourg,1800,127k,36.9,
Latvia,1800,591k,33.0,
Morocco,1800,2.5M,33.1,
Monaco,1800,7790,33.1,
Moldova,1800,713k,33.1,
Madagascar,1800,1.5M,30.5,
Maldives,1800,42.4k,32.6,
Mexico,1800,5.1M,26.9,
Marshall Islands,1800,5830,26.9,
North Macedonia,1800,392k,36.1,
Mali,1800,1.4M,26.4,
Malta,1800,134k,28.7,
Myanmar,1800,6M,30.8,
Montenegro,1800,127k,35.4,
Mongolia,1800,600k,31.8,
Mozambique,1800,2M,30.3,
Mauritania,1800,383k,32.0,
Mauritius,1800,59k,28.7,
Malawi,1800,737k,30.3,
Malaysia,1800,287k,30.6,
Namibia,1800,229k,32.4,
Niger,1800,853k,30.8,
Nigeria,1800,12.1M,30.4,
Nicaragua,1800,186k,25.4,
Netherlands,1800,2M,39.9,
Norway,1800,900k,37.9,
Nepal,1800,4M,32.8,
Nauru,1800,1830,32.8,
New Zealand,1800,200k,34.0,
Oman,1800,300k,32.3,
Pakistan,1800,13.1M,25.8,
Panama,1800,75.6k,32.9,
Peru,1800,1.27M,35.7,
Philippines,1800,2.5M,30.9,
Palau,1800,3880,30.9,
Papua New Guinea,1800,755k,31.5,
Poland,1800,9M,35.9,
North Korea,1800,4.34M,26.0,
Portugal,1800,2.75M,35.6,
Paraguay,1800,300k,35.5,
Palestine,1800,166k,32.1,
Qatar,1800,14.1k,30.8,
Romania,1800,5.5M,35.7,
Russia,1800,31.3M,29.6,
Rwanda,1800,928k,31.8,
Saudi Arabia,1800,2M,32.1,
Sudan,1800,3.99M,31.4,
Senegal,1800,1.01M,25.2,
Singapore,1800,30k,29.1,
Solomon Islands,1800,57k,25.1,
Sierra Leone,1800,794k,25.1,
El Salvador,1800,248k,28.7,
San Marino,1800,5490,28.7,
Somalia,1800,989k,29.4,
Serbia,1800,2.15M,35.5,
South Sudan,1800,1.03M,26.7,
Sao Tome and Principe,1800,22.7k,31.0,
Suriname,1800,80.7k,32.9,
Slovak Republic,1800,2.14M,36.4,
Slovenia,1800,470k,36.6,
Sweden,1800,2.5M,32.2,
Eswatini,1800,86k,32.3,
Seychelles,1800,12.5k,37.0,
Syria,1800,1.25M,31.1,
Chad,1800,1.43M,30.9,
Togo,1800,446k,31.3,
Thailand,1800,3M,30.4,
Tajikistan,1800,467k,24.2,
Turkmenistan,1800,367k,24.0,
Timor-Leste,1800,137k,28.9,
Tonga,1800,18.7k,28.2,
Trinidad and Tobago,1800,20k,32.9,
Tunisia,1800,800k,28.8,
Turkey,1800,9.76M,35.0,
Tuvalu,1800,2500,35.0,
Taiwan,1800,2M,28.3,
Tanzania,1800,3M,32.2,
Uganda,1800,2.5M,25.3,
Ukraine,1800,11.2M,36.6,
Uruguay,1800,55k,32.9,
United States,1800,6M,39.4,
Uzbekistan,1800,1.92M,26.9,
St. Vincent and the Grenadines,1800,25.8k,26.0,
Venezuela,1800,1M,32.2,
Vietnam,1800,4M,32.0,
Vanuatu,1800,27.8k,24.3,
Samoa,1800,47.3k,25.4,
Yemen,1800,2.59M,23.4,
South Africa,1800,1.45M,33.5,
Zambia,1800,747k,32.6,
Zimbabwe,1800,1.09M,33.7,
Afghanistan,1801,3.28M,28.2,
Angola,1801,1.57M,27.0,
Albania,1801,402k,35.4,
Andorra,1801,2650,35.4,
United Arab Emirates,1801,40.2k,30.7,
Argentina,1801,520k,33.2,
Armenia,1801,413k,34.0,
Antigua and Barbuda,1801,37k,33.5,
Australia,1801,205k,34.0,
Austria,1801,3.02M,34.4,
Azerbaijan,1801,880k,29.2,
Burundi,1801,899k,31.5,
Belgium,1801,3.26M,40.0,
Benin,1801,637k,31.0,
Burkina Faso,1801,1.67M,29.2,
Bangladesh,1801,19.2M,25.5,
Bulgaria,1801,2.25M,35.8,
Bahrain,1801,64.5k,30.3,
Bahamas,1801,27.4k,35.2,
Bosnia and Herzegovina,1801,852k,35.1,
Belarus,1801,2.36M,36.2,
Belize,1801,25.5k,26.5,
Bolivia,1801,897k,33.0,
Brazil,1801,2.57M,32.0,
Barbados,1801,81.7k,32.1,
Brunei,1801,2260,29.2,
Bhutan,1801,392k,28.8,
Botswana,1801,121k,33.6,
Central African Republic,1801,479k,30.0,
Canada,1801,512k,39.0,
Switzerland,1801,1.76M,38.0,
Chile,1801,771k,32.0,
China,1801,332M,32.0,
Cote d'Ivoire,1801,1.09M,31.2,
Cameroon,1801,1.86M,28.8,
"Congo, Dem. Rep.",1801,5.16M,31.6,
"Congo, Rep.",1801,314k,32.7,
Colombia,1801,1.21M,32.0,
Comoros,1801,56.3k,32.1,
Cape Verde,1801,55.7k,33.8,
Costa Rica,1801,53.5k,30.2,
Cuba,1801,293k,32.3,
Cyprus,1801,184k,38.5,
Czech Republic,1801,5.52M,35.0,
Germany,1801,18.3M,38.4,
Djibouti,1801,22.8k,29.9,
Dominica,1801,19.9k,29.9,
Denmark,1801,1.01M,38.5,
Dominican Republic,1801,146k,29.9,
Algeria,1801,2.51M,28.8,
Ecuador,1801,500k,32.9,
Egypt,1801,3.53M,33.0,
Eritrea,1801,205k,30.2,
Spain,1801,11.5M,29.5,
Estonia,1801,334k,35.7,
Ethiopia,1801,12M,29.7,
Finland,1801,815k,40.3,
Fiji,1801,131k,26.1,
France,1801,29.1M,36.4,
"Micronesia, Fed. Sts.",1801,16.4k,26.7,
Gabon,1801,158k,30.6,
United Kingdom,1801,10.9M,37.4,
Georgia,1801,1.07M,31.9,
Ghana,1801,2.02M,28.0,
Guinea,1801,984k,29.5,
Gambia,1801,103k,28.8,
Guinea-Bissau,1801,218k,32.0,
Equatorial Guinea,1801,80.4k,29.8,
Greece,1801,2.25M,36.6,
Grenada,1801,29.4k,31.4,
Guatemala,1801,469k,25.8,
Guyana,1801,166k,31.1,
"Hong Kong, China",1801,20k,34.9,
Honduras,1801,130k,33.9,
Holy See,1801,905,,
Croatia,1801,1.23M,36.1,
Haiti,1801,509k,29.0,
Hungary,1801,3.29M,36.0,
Indonesia,1801,16.2M,30.0,
India,1801,201M,25.4,
Ireland,1801,5.33M,38.3,
Iran,1801,6.03M,25.6,
Iraq,1801,1M,31.2,
Iceland,1801,61.4k,33.9,
Israel,1801,210k,32.0,
Italy,1801,19.1M,29.7,
Jamaica,1801,304k,34.2,
Jordan,1801,201k,31.7,
Japan,1801,28.1M,36.4,
Kazakhstan,1801,2.04M,26.2,
Kenya,1801,2.59M,25.5,
Kyrgyz Republic,1801,530k,23.9,
Cambodia,1801,2.09M,35.0,
Kiribati,1801,17.9k,24.9,
St. Kitts and Nevis,1801,17.2k,24.9,
South Korea,1801,9.39M,25.8,
Kuwait,1801,81.3k,26.0,
Lao,1801,470k,31.9,
Lebanon,1801,302k,29.7,
Liberia,1801,314k,31.1,
Libya,1801,230k,33.1,
St. Lucia,1801,24k,28.0,
Liechtenstein,1801,5800,,
Sri Lanka,1801,1.72M,32.6,
Lesotho,1801,276k,32.8,
Lithuania,1801,779k,28.9,
Luxembourg,1801,127k,36.9,
Latvia,1801,591k,33.0,
Morocco,1801,2.51M,33.1,
Monaco,1801,7790,33.1,
Moldova,1801,713k,33.1,
Madagascar,1801,1.51M,30.5,
Maldives,1801,42.4k,32.6,
Mexico,1801,5.17M,26.9,
Marshall Islands,1801,5830,26.9,
North Macedonia,1801,392k,36.1,
Mali,1801,1.4M,26.4,
Malta,1801,134k,28.7,
Myanmar,1801,5.84M,30.8,
Montenegro,1801,127k,35.4,
Mongolia,1801,601k,31.8,
Mozambique,1801,2M,30.3,
Mauritania,1801,383k,32.0,
Mauritius,1801,60.7k,28.7,
Malawi,1801,753k,30.3,
Malaysia,1801,287k,30.6,
Namibia,1801,226k,32.4,
Niger,1801,853k,30.8,
Nigeria,1801,12.1M,30.4,
Nicaragua,1801,186k,25.4,
Netherlands,1801,2M,39.9,
Norway,1801,898k,35.8,
Nepal,1801,3.99M,32.8,
Nauru,1801,1830,32.8,
New Zealand,1801,193k,34.0,
Oman,1801,301k,32.3,
Pakistan,1801,13.1M,25.8,
Panama,1801,76.2k,32.9,
Peru,1801,1.27M,35.7,
Philippines,1801,2.44M,30.9,
Palau,1801,3880,30.9,
Papua New Guinea,1801,755k,31.5,
Poland,1801,9.07M,35.9,
North Korea,1801,4.34M,26.0,
Portugal,1801,2.78M,35.6,
Paraguay,1801,289k,35.5,
Palestine,1801,166k,32.1,
Qatar,1801,14.1k,30.8,
Romania,1801,5.54M,35.7,
Russia,1801,31.3M,29.6,
Rwanda,1801,928k,25.0,
Saudi Arabia,1801,2M,32.1,
Sudan,1801,4M,31.4,
Senegal,1801,1.01M,25.2,
Singapore,1801,30k,29.1,
Solomon Islands,1801,57k,25.1,
Sierra Leone,1801,794k,25.1,
El Salvador,1801,238k,28.7,
San Marino,1801,5490,28.7,
Somalia,1801,989k,29.4,
Serbia,1801,2.15M,35.5,
South Sudan,1801,1.03M,26.7,
Sao Tome and Principe,1801,22.7k,31.0,
Suriname,1801,80.7k,32.9,
Slovak Republic,1801,2.14M,36.4,
Slovenia,1801,470k,36.6,
Sweden,1801,2.49M,36.9,
Eswatini,1801,85.5k,32.3,
Seychelles,1801,12.5k,37.0,
Syria,1801,1.25M,31.1,
Chad,1801,1.44M,30.9,
Togo,1801,446k,31.3,
Thailand,1801,3.07M,30.4,
Tajikistan,1801,467k,24.2,
Turkmenistan,1801,367k,24.0,
Timor-Leste,1801,137k,28.9,
Tonga,1801,18.7k,28.2,
Trinidad and Tobago,1801,21.1k,32.9,
Tunisia,1801,804k,28.8,
Turkey,1801,9.78M,35.0,
Tuvalu,1801,2500,35.0,
Taiwan,1801,2M,28.3,
Tanzania,1801,3M,32.2,
Uganda,1801,2.48M,25.3,
Ukraine,1801,11.2M,36.6,
Uruguay,1801,55k,32.9,
United States,1801,6.11M,39.4,
Uzbekistan,1801,1.92M,26.9,
St. Vincent and the Grenadines,1801,25.8k,26.0,
Venezuela,1801,978k,32.2,
Vietnam,1801,4.1M,32.0,
Vanuatu,1801,27.8k,24.3,
Samoa,1801,47.3k,25.4,
Yemen,1801,2.59M,23.4,
South Africa,1801,1.45M,33.5,
Zambia,1801,758k,32.6,
Zimbabwe,1801,1.09M,33.7,
Afghanistan,1802,3.28M,28.2,
Angola,1802,1.57M,27.0,
Albania,1802,404k,35.4,
Andorra,1802,2650,35.4,
United Arab Emirates,1802,40.2k,30.7,
Argentina,1802,506k,33.2,
Armenia,1802,413k,34.0,
Antigua and Barbuda,1802,37k,33.5,
Australia,1802,211k,34.0,
Austria,1802,3.04M,34.4,
Azerbaijan,1802,880k,29.2,
Burundi,1802,899k,31.5,
Belgium,1802,3.27M,40.0,
Benin,1802,637k,31.0,
Burkina Faso,1802,1.67M,29.2,
Bangladesh,1802,19.3M,25.5,
Bulgaria,1802,2.24M,35.9,
Bahrain,1802,64.5k,30.3,
Bahamas,1802,27.4k,35.2,
Bosnia and Herzegovina,1802,852k,35.1,
Belarus,1802,2.36M,36.2,
Belize,1802,25.5k,26.5,
Bolivia,1802,906k,33.0,
Brazil,1802,2.65M,32.0,
Barbados,1802,81.7k,32.1,
Brunei,1802,2260,29.2,
Bhutan,1802,392k,28.8,
Botswana,1802,120k,33.6,
Central African Republic,1802,479k,30.0,
Canada,1802,525k,39.0,
Switzerland,1802,1.77M,38.0,
Chile,1802,771k,32.0,
China,1802,333M,32.0,
Cote d'Ivoire,1802,1.09M,31.2,
Cameroon,1802,1.86M,28.8,
"Congo, Dem. Rep.",1802,5.16M,31.6,
"Congo, Rep.",1802,314k,32.7,
Colombia,1802,1.21M,32.0,
Comoros,1802,56.3k,32.1,
Cape Verde,1802,55.7k,33.8,
Costa Rica,1802,53.9k,30.2,
Cuba,1802,316k,32.5,
Cyprus,1802,184k,38.5,
Czech Republic,1802,5.52M,35.0,
Germany,1802,18.6M,38.4,
Djibouti,1802,22.8k,29.9,
Dominica,1802,19.9k,29.9,
Denmark,1802,1.01M,44.4,
Dominican Republic,1802,142k,29.9,
Algeria,1802,2.52M,28.8,
Ecuador,1802,500k,32.9,
Egypt,1802,3.56M,33.0,
Eritrea,1802,205k,30.2,
Spain,1802,11.6M,29.5,
Estonia,1802,334k,35.3,
Ethiopia,1802,12M,29.7,
Finland,1802,831k,39.2,
Fiji,1802,131k,26.1,
France,1802,29.2M,34.4,
"Micronesia, Fed. Sts.",1802,16.4k,26.7,
Gabon,1802,158k,30.6,
United Kingdom,1802,11M,38.6,
Georgia,1802,1.07M,31.9,
Ghana,1802,2.02M,28.0,
Guinea,1802,984k,29.5,
Gambia,1802,103k,28.8,
Guinea-Bissau,1802,218k,32.0,
Equatorial Guinea,1802,80.4k,29.8,
Greece,1802,2.26M,36.6,
Grenada,1802,29.4k,31.4,
Guatemala,1802,475k,25.8,
Guyana,1802,166k,31.1,
"Hong Kong, China",1802,20k,34.9,
Honduras,1802,130k,33.9,
Holy See,1802,905,,
Croatia,1802,1.23M,36.1,
Haiti,1802,519k,29.0,
Hungary,1802,3.33M,36.0,
Indonesia,1802,16.2M,30.0,
India,1802,202M,25.0,
Ireland,1802,5.41M,38.3,
Iran,1802,6.05M,25.6,
Iraq,1802,1.01M,31.2,
Iceland,1802,61.4k,27.6,
Israel,1802,210k,32.0,
Italy,1802,19.1M,29.7,
Jamaica,1802,309k,34.2,
Jordan,1802,202k,31.7,
Japan,1802,28.3M,36.4,
Kazakhstan,1802,2.04M,26.2,
Kenya,1802,2.6M,25.5,
Kyrgyz Republic,1802,530k,23.9,
Cambodia,1802,2.09M,35.0,
Kiribati,1802,17.9k,24.9,
St. Kitts and Nevis,1802,17.2k,24.9,
South Korea,1802,9.39M,25.8,
Kuwait,1802,81.3k,26.0,
Lao,1802,470k,31.9,
Lebanon,1802,303k,29.7,
Liberia,1802,314k,31.1,
Libya,1802,230k,33.1,
St. Lucia,1802,24k,28.0,
Liechtenstein,1802,5800,,
Sri Lanka,1802,1.69M,32.6,
Lesotho,1802,276k,32.8,
Lithuania,1802,779k,28.9,
Luxembourg,1802,127k,36.9,
Latvia,1802,591k,33.0,
Morocco,1802,2.52M,33.1,
Monaco,1802,7790,33.1,
Moldova,1802,713k,33.1,
Madagascar,1802,1.52M,30.5,
Maldives,1802,42.4k,32.6,
Mexico,1802,5.23M,26.9,
Marshall Islands,1802,5830,26.9,
North Macedonia,1802,392k,36.1,
Mali,1802,1.4M,26.4,
Malta,1802,134k,28.7,
Myanmar,1802,5.69M,30.8,
Montenegro,1802,127k,35.4,
Mongolia,1802,602k,31.8,
Mozambique,1802,2.01M,30.3,
Mauritania,1802,383k,32.0,
Mauritius,1802,62.4k,28.7,
Malawi,1802,769k,30.3,
Malaysia,1802,287k,30.6,
Namibia,1802,223k,32.4,
Niger,1802,853k,30.8,
Nigeria,1802,12.1M,30.4,
Nicaragua,1802,186k,25.4,
Netherlands,1802,2.01M,39.9,
Norway,1802,897k,38.4,
Nepal,1802,3.99M,32.8,
Nauru,1802,1830,32.8,
New Zealand,1802,187k,34.0,
Oman,1802,302k,32.3,
Pakistan,1802,13.2M,25.8,
Panama,1802,76.7k,32.9,
Peru,1802,1.28M,35.7,
Philippines,1802,2.37M,30.9,
Palau,1802,3880,30.9,
Papua New Guinea,1802,755k,31.5,
Poland,1802,9.13M,35.9,
North Korea,1802,4.34M,26.0,
Portugal,1802,2.8M,35.6,
Paraguay,1802,279k,35.5,
Palestine,1802,166k,32.1,
Qatar,1802,14.1k,30.8,
Romania,1802,5.58M,35.7,
Russia,1802,31.3M,29.6,
Rwanda,1802,928k,25.0,
Saudi Arabia,1802,2.01M,32.1,
Sudan,1802,4M,31.4,
Senegal,1802,1.01M,25.2,
Singapore,1802,30k,29.1,
Solomon Islands,1802,57k,25.1,
Sierra Leone,1802,794k,25.1,
El Salvador,1802,229k,28.7,
San Marino,1802,5490,28.7,
Somalia,1802,990k,29.4,
Serbia,1802,2.15M,35.5,
South Sudan,1802,1.03M,26.7,
Sao Tome and Principe,1802,22.7k,31.0,
Suriname,1802,80.7k,32.9,
Slovak Republic,1802,2.14M,36.4,
Slovenia,1802,470k,36.6,
Sweden,1802,2.48M,40.2,
Eswatini,1802,85.1k,32.3,
Seychelles,1802,12.5k,37.0,
Syria,1802,1.26M,31.1,
Chad,1802,1.44M,30.9,
Togo,1802,446k,31.3,
Thailand,1802,3.14M,30.4,
Tajikistan,1802,467k,24.2,
Turkmenistan,1802,367k,24.0,
Timor-Leste,1802,137k,28.9,
Tonga,1802,18.6k,28.2,
Trinidad and Tobago,1802,22.3k,32.9,
Tunisia,1802,807k,28.8,
Turkey,1802,9.79M,35.0,
Tuvalu,1802,2500,35.0,
Taiwan,1802,2M,28.3,
Tanzania,1802,3M,32.2,
Uganda,1802,2.46M,25.3,
Ukraine,1802,11.2M,36.6,
Uruguay,1802,55k,32.9,
United States,1802,6.23M,39.4,
Uzbekistan,1802,1.92M,26.9,
St. Vincent and the Grenadines,1802,25.8k,26.0,
Venezuela,1802,957k,32.2,
Vietnam,1802,4.2M,32.0,
Vanuatu,1802,27.8k,24.3,
Samoa,1802,47.3k,25.4,
Yemen,1802,2.59M,23.4,
South Africa,1802,1.46M,33.5,
Zambia,1802,770k,32.6,
Zimbabwe,1802,1.09M,33.7,
Afghanistan,1803,3.28M,28.2,
Angola,1803,1.57M,27.0,
Albania,1803,405k,35.4,
Andorra,1803,2650,35.4,
United Arab Emirates,1803,40.2k,30.7,
Argentina,1803,492k,33.2,
Armenia,1803,413k,34.0,
Antigua and Barbuda,1803,37k,33.5,
Australia,1803,216k,34.0,
Austria,1803,3.05M,34.4,
Azerbaijan,1803,880k,29.2,
Burundi,1803,899k,31.5,
Belgium,1803,3.28M,40.0,
Benin,1803,637k,31.0,
Burkina Faso,1803,1.67M,29.2,
Bangladesh,1803,19.3M,25.5,
Bulgaria,1803,2.24M,35.9,
Bahrain,1803,64.5k,30.3,
Bahamas,1803,27.4k,35.2,
Bosnia and Herzegovina,1803,852k,35.1,
Belarus,1803,2.36M,36.2,
Belize,1803,25.5k,26.5,
Bolivia,1803,916k,33.0,
Brazil,1803,2.73M,32.0,
Barbados,1803,81.7k,32.1,
Brunei,1803,2260,29.2,
Bhutan,1803,392k,28.8,
Botswana,1803,120k,33.6,
Central African Republic,1803,479k,30.0,
Canada,1803,538k,39.0,
Switzerland,1803,1.78M,38.0,
Chile,1803,771k,32.0,
China,1803,335M,32.0,
Cote d'Ivoire,1803,1.09M,31.2,
Cameroon,1803,1.86M,28.8,
"Congo, Dem. Rep.",1803,5.16M,31.6,
"Congo, Rep.",1803,314k,32.7,
Colombia,1803,1.21M,32.0,
Comoros,1803,56.3k,32.1,
Cape Verde,1803,55.7k,33.8,
Costa Rica,1803,54.4k,30.2,
Cuba,1803,340k,32.6,
Cyprus,1803,184k,38.5,
Czech Republic,1803,5.52M,35.0,
Germany,1803,18.9M,38.4,
Djibouti,1803,22.8k,29.9,
Dominica,1803,19.9k,29.9,
Denmark,1803,1.02M,44.8,
Dominican Republic,1803,139k,29.9,
Algeria,1803,2.53M,28.8,
Ecuador,1803,500k,32.9,
Egypt,1803,3.6M,33.0,
Eritrea,1803,205k,30.2,
Spain,1803,11.6M,29.5,
Estonia,1803,334k,34.8,
Ethiopia,1803,12M,29.7,
Finland,1803,847k,28.5,
Fiji,1803,131k,26.1,
France,1803,29.3M,30.6,
"Micronesia, Fed. Sts.",1803,16.4k,26.7,
Gabon,1803,158k,30.6,
United Kingdom,1803,11.1M,37.3,
Georgia,1803,1.07M,31.9,
Ghana,1803,2.02M,28.0,
Guinea,1803,984k,29.5,
Gambia,1803,103k,28.8,
Guinea-Bissau,1803,218k,32.0,
Equatorial Guinea,1803,80.4k,29.8,
Greece,1803,2.26M,36.6,
Grenada,1803,29.4k,31.4,
Guatemala,1803,481k,25.8,
Guyana,1803,166k,31.1,
"Hong Kong, China",1803,20k,34.9,
Honduras,1803,131k,33.9,
Holy See,1803,905,,
Croatia,1803,1.23M,36.1,
Haiti,1803,528k,29.0,
Hungary,1803,3.37M,36.0,
Indonesia,1803,16.2M,30.0,
India,1803,202M,24.0,
Ireland,1803,5.49M,38.3,
Iran,1803,6.08M,25.6,
Iraq,1803,1.01M,31.2,
Iceland,1803,61.4k,19.6,
Israel,1803,210k,32.0,
Italy,1803,19.2M,29.7,
Jamaica,1803,313k,34.2,
Jordan,1803,202k,31.7,
Japan,1803,28.4M,36.4,
Kazakhstan,1803,2.04M,26.2,
Kenya,1803,2.62M,25.5,
Kyrgyz Republic,1803,530k,23.9,
Cambodia,1803,2.09M,35.0,
Kiribati,1803,17.9k,24.9,
St. Kitts and Nevis,1803,17.2k,24.9,
South Korea,1803,9.39M,25.8,
Kuwait,1803,81.3k,26.0,
Lao,1803,470k,31.9,
Lebanon,1803,305k,29.7,
Liberia,1803,314k,31.1,
Libya,1803,230k,33.1,
St. Lucia,1803,24k,28.0,
Liechtenstein,1803,5800,,
Sri Lanka,1803,1.66M,32.6,
Lesotho,1803,276k,32.8,
Lithuania,1803,779k,28.9,
Luxembourg,1803,127k,36.9,
Latvia,1803,591k,33.0,
Morocco,1803,2.53M,33.1,
Monaco,1803,7790,33.1,
Moldova,1803,713k,33.1,
Madagascar,1803,1.53M,30.5,
Maldives,1803,42.4k,32.6,
Mexico,1803,5.3M,26.9,
Marshall Islands,1803,5830,26.9,
North Macedonia,1803,392k,36.1,
Mali,1803,1.4M,26.4,
Malta,1803,134k,28.7,
Myanmar,1803,5.54M,30.8,
Montenegro,1803,127k,35.4,
Mongolia,1803,603k,31.8,
Mozambique,1803,2.01M,30.3,
Mauritania,1803,383k,32.0,
Mauritius,1803,64.2k,28.7,
Malawi,1803,786k,30.3,
Malaysia,1803,287k,30.6,
Namibia,1803,220k,32.4,
Niger,1803,853k,30.8,
Nigeria,1803,12.1M,30.4,
Nicaragua,1803,186k,25.4,
Netherlands,1803,2.01M,39.9,
Norway,1803,895k,38.7,
Nepal,1803,3.98M,32.8,
Nauru,1803,1830,32.8,
New Zealand,1803,180k,34.0,
Oman,1803,303k,32.3,
Pakistan,1803,13.2M,25.8,
Panama,1803,77.3k,32.9,
Peru,1803,1.28M,35.7,
Philippines,1803,2.31M,30.9,
Palau,1803,3880,30.9,
Papua New Guinea,1803,755k,31.5,
Poland,1803,9.2M,35.9,
North Korea,1803,4.34M,26.0,
Portugal,1803,2.83M,35.6,
Paraguay,1803,268k,35.5,
Palestine,1803,166k,32.1,
Qatar,1803,14.1k,30.8,
Romania,1803,5.63M,35.7,
Russia,1803,31.3M,29.6,
Rwanda,1803,928k,31.8,
Saudi Arabia,1803,2.01M,32.1,
Sudan,1803,4.01M,31.4,
Senegal,1803,1.01M,25.2,
Singapore,1803,30k,29.1,
Solomon Islands,1803,57k,25.1,
Sierra Leone,1803,794k,25.1,
El Salvador,1803,219k,28.7,
San Marino,1803,5490,28.7,
Somalia,1803,990k,29.4,
Serbia,1803,2.15M,35.5,
South Sudan,1803,1.03M,26.7,
Sao Tome and Principe,1803,22.7k,31.0,
Suriname,1803,80.7k,32.9,
Slovak Republic,1803,2.14M,36.4,
Slovenia,1803,470k,36.6,
Sweden,1803,2.47M,40.3,
Eswatini,1803,84.7k,32.3,
Seychelles,1803,12.5k,37.0,
Syria,1803,1.26M,31.1,
Chad,1803,1.45M,30.9,
Togo,1803,446k,31.3,
Thailand,1803,3.21M,30.4,
Tajikistan,1803,467k,24.2,
Turkmenistan,1803,367k,24.0,
Timor-Leste,1803,137k,28.9,
Tonga,1803,18.6k,28.2,
Trinidad and Tobago,1803,23.6k,32.9,
Tunisia,1803,811k,28.8,
Turkey,1803,9.81M,35.0,
Tuvalu,1803,2500,35.0,
Taiwan,1803,2M,28.3,
Tanzania,1803,3M,32.2,
Uganda,1803,2.44M,25.3,
Ukraine,1803,11.2M,36.6,
Uruguay,1803,55k,32.9,
United States,1803,6.35M,39.4,
Uzbekistan,1803,1.92M,26.9,
St. Vincent and the Grenadines,1803,25.8k,26.0,
